runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,11184,600.024,2,64,18.3333,0.8,0.509891
1,11952,599.95,1,48,44.5,1,0
2,11969,599.922,2,64,18.3333,0.8,0.509891
3,12164,599.924,1,88,6.5,1,0
4,11853,599.999,1,48,44.5,1,0
5,12546,599.968,1,63,44.6,1,0
6,12535,599.991,1,69,44.3333,1,0
7,12073,599.934,1,69,44.3333,1,0
8,11863,599.896,1,44,44.75,1,0
9,11750,599.93,2,45,30.6667,0.75,0.509891
10,11720,600.989,1,48,44.5,1,0
11,11635,600.023,1,78,38,1,0
12,12166,599.949,1,66,44.5,1,0
13,12422,599.964,2,64,18.3333,0.8,0.509891
14,11531,599.946,1,48,44.5,1,0
15,11720,599.962,1,75,41,1,0
16,12048,599.985,1,44,44.75,1,0
17,11839,599.942,1,46,44.6667,1,0
18,11800,599.995,2,64,18.3333,0.8,0.509891
19,12292,599.97,1,96,6,1,0
20,11893,600.016,1,40,44.8333,1,0
21,12001,599.801,1,46,44.6667,1,0
22,12545,599.93,1,69,44.3333,1,0
23,11932,599.956,1,69,44.3333,1,0
24,11751,599.965,1,69,44.3333,1,0
25,12614,599.991,1,63,44.6,1,0
26,12538,599.831,1,48,44.5,1,0
27,11763,599.981,1,44,44.75,1,0
28,11967,599.941,1,42,44.8,1,0
29,12427,599.898,1,48,44.5,1,0
,,,102,,,
