runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,4413,599.962,1,105,10,1,0
1,4863,599.913,0,0,333,333,333
2,5142,599.913,0,0,333,333,333
3,4499,599.991,1,35,62.8889,1,0
4,4734,599.999,1,35,62.8889,1,0
5,4591,599.944,3,107,0.5,0.5,0.349763
6,4484,599.941,1,36,62.9048,1,0
7,4486,599.899,1,15,62.9545,1,0
8,4574,600.045,1,0,62.9688,1,0
9,4245,599.911,1,40,62.875,1,0
10,4316,599.953,0,0,333,333,333
11,4594,599.965,0,0,333,333,333
12,4518,599.899,1,60,62.75,1,0
13,4569,599.98,1,55,62.8,1,0
14,4432,600.024,1,72,36.75,1,0
15,4586,599.995,0,0,333,333,333
16,4661,599.965,0,0,333,333,333
17,4653,599.854,1,65,62.6667,1,0
18,4662,599.989,0,0,333,333,333
19,4508,600.053,0,0,333,333,333
20,4767,599.863,0,0,333,333,333
21,4582,599.972,1,30,62.9167,1,0
22,4659,599.972,0,0,333,333,333
23,4471,599.912,1,55,62.8,1,0
24,4680,599.9,0,0,333,333,333
25,4462,599.993,1,30,62.9,1,0
26,4456,599.86,1,24,62.9,1,0
27,4851,599.965,0,0,333,333,333
28,4534,599.894,0,0,333,333,333
29,4574,599.878,1,55,62.8,1,0
,,,110,,,
