runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3455,599.911,0,0,333,333,333
1,3511,599.857,0,0,333,333,333
2,3497,599.938,0,0,333,333,333
3,3513,599.935,0,0,333,333,333
4,3479,600.319,0,0,333,333,333
5,3474,599.799,0,0,333,333,333
6,3490,599.821,0,0,333,333,333
7,3621,599.99,0,0,333,333,333
8,3506,599.958,0,0,333,333,333
9,3524,599.896,0,0,333,333,333
10,3489,600.055,0,0,333,333,333
11,3462,599.721,0,0,333,333,333
12,3480,599.897,0,0,333,333,333
13,3544,599.918,0,0,333,333,333
14,3521,600.012,0,0,333,333,333
15,3513,599.602,0,0,333,333,333
16,3499,600.066,0,0,333,333,333
17,3507,599.766,0,0,333,333,333
18,3529,599.916,0,0,333,333,333
19,3488,599.896,0,0,333,333,333
20,3483,600.031,0,0,333,333,333
21,3398,600.191,0,0,333,333,333
22,3422,600.108,0,0,333,333,333
23,3308,601.25,0,0,333,333,333
24,3469,599.989,0,0,333,333,333
25,3390,599.954,0,0,333,333,333
26,3371,599.775,0,0,333,333,333
27,3487,599.829,0,0,333,333,333
28,3463,599.632,0,0,333,333,333
29,3499,599.954,0,0,333,333,333
,,,0,,,
