runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5301,599.651,1,119,333,333,0
1,5144,599.916,0,0,333,333,333
2,5288,599.97,0,0,333,333,333
3,5144,599.959,2,70,27.6667,1,inf
4,5236,599.868,0,0,333,333,333
5,5291,600.016,0,0,333,333,333
6,4955,599.944,1,30,63,1,0
7,5316,599.926,2,21,24.6429,1,inf
8,5493,599.913,3,44,10.9722,0.916667,-inf
9,5259,599.923,0,0,333,333,333
10,5216,599.934,0,0,333,333,333
11,5383,599.943,0,0,333,333,333
12,5211,599.978,1,84,333,333,0
13,5106,599.89,2,40,28.5758,1,inf
14,5304,600.017,2,3,37.2941,1,inf
15,5322,599.913,1,72,63,1,0
16,5252,599.956,2,51,24.1667,1,inf
17,5308,599.896,0,0,333,333,333
18,5071,599.949,1,36,63,1,0
19,5314,600.007,0,0,333,333,333
20,5236,599.972,0,0,333,333,333
21,5423,599.985,0,0,333,333,333
22,5062,599.939,0,0,333,333,333
23,4978,599.953,2,76,27.2667,1,inf
24,5325,599.952,0,0,333,333,333
25,5170,599.936,1,0,63,1,0
26,5074,599.899,1,26,63,1,0
27,5184,599.87,0,0,333,333,333
28,5043,599.968,2,39,24.4091,1,inf
29,5360,599.937,0,0,333,333,333
,,,119,,,
