runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3807,599.897,0,0,333,333,333
1,3766,599.996,0,0,333,333,333
2,3776,599.778,0,0,333,333,333
3,3920,599.918,0,0,333,333,333
4,3718,599.941,0,0,333,333,333
5,3851,599.808,0,0,333,333,333
6,3854,599.978,0,0,333,333,333
7,3816,599.819,0,0,333,333,333
8,3818,599.816,0,0,333,333,333
9,3776,599.9,0,0,333,333,333
10,3801,600.008,0,0,333,333,333
11,3745,599.857,0,0,333,333,333
12,3707,599.974,0,0,333,333,333
13,3706,599.69,0,0,333,333,333
14,3814,599.743,0,0,333,333,333
15,4049,599.966,0,0,333,333,333
16,3678,599.973,0,0,333,333,333
17,3773,599.748,0,0,333,333,333
18,3741,599.635,0,0,333,333,333
19,3763,599.948,0,0,333,333,333
20,3699,599.748,0,0,333,333,333
21,3601,599.761,0,0,333,333,333
22,3910,599.801,0,0,333,333,333
23,3934,599.94,0,0,333,333,333
24,3818,599.916,0,0,333,333,333
25,3885,599.871,0,0,333,333,333
26,3680,599.902,0,0,333,333,333
27,3876,599.701,0,0,333,333,333
28,3603,599.861,0,0,333,333,333
29,3690,599.884,0,0,333,333,333
,,,22,,,
