runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
10,3515,600.388,0,333,333,333,0,12
11,3576,600.186,0,333,333,333,0,12
12,3553,600.02,0,333,333,333,0,12
13,3536,599.623,0,333,333,333,0,12
14,3575,599.763,0,333,333,333,0,12
15,3525,599.926,0,333,333,333,0,12
16,3411,599.824,0,333,333,333,0,12
17,3507,600.056,0,333,333,333,0,12
18,3533,599.547,0,333,333,333,0,12
19,3532,599.826,0,333,333,333,0,12
20,3583,599.721,0,333,333,333,0,12
21,3557,599.936,0,333,333,333,0,12
22,3543,600.703,0,333,333,333,0,12
23,3574,600.39,0,333,333,333,0,12
24,3481,600.1,0,333,333,333,0,12
25,3562,600.431,0,333,333,333,0,12
26,3633,599.468,0,333,333,333,0,12
27,3548,600.483,0,333,333,333,0,12
28,3486,600.17,0,333,333,333,0,12
29,3462,599.9,0,333,333,333,0,12
0,3644,600.155,0,333,333,333,0,13
1,3712,601.877,0,333,333,333,0,13
2,3639,599.658,0,333,333,333,0,13
3,3689,599.519,0,333,333,333,0,13
4,3626,599.653,0,333,333,333,0,13
5,3674,599.449,0,333,333,333,0,13
6,3722,599.88,0,333,333,333,0,13
7,3657,599.804,0,333,333,333,0,13
8,3608,599.517,0,333,333,333,0,13
9,3668,599.996,0,333,333,333,0,13
10,3642,600.025,0,333,333,333,0,13
11,3621,599.273,0,333,333,333,0,13
12,3651,599.748,0,333,333,333,0,13
13,3634,599.934,0,333,333,333,0,13
14,3689,599.892,0,333,333,333,0,13
15,3716,600.051,0,333,333,333,0,13
16,3543,599.809,0,333,333,333,0,13
17,3647,600.178,0,333,333,333,0,13
18,3581,599.832,0,333,333,333,0,13
19,3656,599.72,0,333,333,333,0,13
20,3646,599.765,0,333,333,333,0,13
21,3670,599.844,0,333,333,333,0,13
22,3657,600.119,0,333,333,333,0,13
23,3630,599.753,0,333,333,333,0,13
24,3593,600.085,0,333,333,333,0,13
25,3619,599.7,0,333,333,333,0,13
26,3782,599.663,0,333,333,333,0,13
27,3678,599.785,0,333,333,333,0,13
28,3661,599.603,0,333,333,333,0,13
29,3607,600.27,0,333,333,333,0,13
0,3643,599.709,0,333,333,333,0,14
1,3661,600.561,0,333,333,333,0,14
2,3742,599.729,0,333,333,333,0,14
3,3699,600.28,0,333,333,333,0,14
4,3762,599.98,0,333,333,333,0,14
5,3685,599.98,0,333,333,333,0,14
6,3647,599.753,0,333,333,333,0,14
7,3623,599.804,0,333,333,333,0,14
8,3586,599.772,0,333,333,333,0,14
9,3699,599.948,0,333,333,333,0,14
10,3684,600.254,0,333,333,333,0,14
11,3626,600.285,0,333,333,333,0,14
12,3674,599.575,0,333,333,333,0,14
