runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,5418,599.945,0,333,333,333,0,0
1,5311,599.945,0,333,333,333,0,0
2,5331,599.927,48,13.8,0.857143,0.475082,0,0
3,5392,599.819,0,333,333,333,0,0
4,5350,599.901,0,333,333,333,0,0
5,5208,599.842,32,24.3,0.8,0.427067,0,0
6,5345,599.983,12,33.8,1,0,0,0
7,5328,599.883,20,80.9,0.75,0.427067,0,0
8,5330,599.828,0,333,333,333,0,0
9,5398,599.82,0,333,333,333,0,0
10,5333,600.096,8,53.1,1,0,0,0
11,5473,599.805,0,333,333,333,0,0
12,5238,599.855,58,14.2,0.666667,0.475082,0,0
13,5370,599.868,0,333,333,333,0,0
14,5244,599.905,0,333,333,333,0,0
15,5366,599.954,20,29.6,1,0,0,0
16,5406,599.965,0,333,333,333,0,0
17,5249,600.041,0,333,333,333,0,0
18,5276,599.802,47,13.2,0.875,0.475082,0,0
19,5418,599.94,85,3.2,0.333333,0.482558,0,0
20,5366,599.77,0,37.6,1,0,0,0
21,5326,599.948,0,333,333,333,0,0
22,5512,599.956,0,333,333,333,0,0
23,5389,599.817,0,333,333,333,0,0
24,5290,599.825,15,33.5,1,0,0,0
25,5182,600.017,0,333,333,333,0,0
26,5181,599.931,46,14.2,0.777778,0.475082,0,0
27,5321,600.171,0,333,333,333,0,0
28,5203,600.826,48,12.2,1,0,0,0
29,5376,600.029,0,333,333,333,0,0
0,5338,599.597,105,27.5,0.5,0.49717,0,1
1,5348,599.85,110,14.2,1,0,0,1
2,5287,599.99,0,333,333,333,0,1
3,5384,599.854,0,167,1,0,0,1
4,5343,599.935,128,1.5,0.5,0.488066,0,1
5,5362,599.913,0,333,333,333,0,1
6,5243,599.827,0,333,333,333,0,1
7,5161,600.019,81,54.5,0.833333,0.49717,0,1
8,5283,599.933,0,333,333,333,0,1
9,5363,600.06,48,92,1,0,0,1
10,5396,599.749,86,44.5,0.8,0.49717,0,1
11,5217,599.922,27,124.1,0.583333,0.481574,0,1
12,5418,599.894,0,333,333,333,0,1
13,5408,599.992,0,333,333,333,0,1
14,5382,599.872,72,65,1,0,0,1
15,5255,599.738,0,333,333,333,0,1
16,5379,599.859,0,333,333,333,0,1
17,5293,599.933,108,24.5,1,0,0,1
18,5316,599.667,24,119,1,0,0,1
19,5331,599.909,0,333,333,333,0,1
20,5418,599.871,0,333,333,333,0,1
21,5340,599.811,46,90.4,0.75,0.49717,0,1
22,5270,599.801,72,56,0.666667,0.461422,0,1
23,5245,599.878,60,72.2,1,0,0,1
24,5263,599.823,0,333,333,333,0,1
25,5210,599.963,0,333,333,333,0,1
26,5385,599.714,0,333,333,333,0,1
27,5223,600.368,99,27.8,1,0,0,1
28,5284,599.912,0,333,333,333,0,1
29,5230,600.615,0,333,333,333,0,1
0,5284,599.54,0,333,333,333,0,10
1,5307,599.81,0,333,333,333,0,10
2,5407,599.69,0,333,333,333,0,10
3,5272,599.93,0,333,333,333,0,10
4,5475,599.923,7,14.9,1,0,0,10
5,5270,599.762,0,45.3,1,0,0,10
6,5205,599.804,24,4.4,1,inf,0,10
7,5368,599.834,0,333,333,333,0,10
8,5378,600.01,0,333,333,333,0,10
9,5248,599.857,8,12.2,1,0,0,10
10,5353,599.83,0,333,333,333,0,10
11,5237,599.872,0,333,333,333,0,10
12,5299,599.918,8,13.8,1,inf,0,10
13,5407,599.584,0,333,333,333,0,10
14,5295,599.875,0,333,333,333,0,10
15,5408,599.977,0,333,333,333,0,10
16,5354,600.089,30,333,333,0,0,10
17,5345,599.598,0,18.4,1,0,0,10
18,5450,599.7,0,333,333,333,0,10
19,5332,599.707,0,333,333,333,0,10
20,5277,599.876,0,333,333,333,0,10
21,5189,599.905,3,33.3,0.888889,0.145824,0,10
22,5443,599.981,0,333,333,333,0,10
23,5315,600.013,0,333,333,333,0,10
24,5406,599.959,0,333,333,333,0,10
25,5323,599.578,14,13.9,1,inf,0,10
26,5292,599.723,21,333,333,0,0,10
27,5383,600.675,0,333,333,333,0,10
28,5450,599.862,0,333,333,333,0,10
29,5332,601.172,0,333,333,333,0,10
0,5340,599.53,40,158.6,0.888889,0.5994,0,11
1,5320,599.75,50,104,0.928571,0.509891,0,11
2,5345,599.816,55,100.2,0.928571,0.509891,0,11
3,5440,599.948,0,333,333,333,0,11
4,5249,599.853,128,55.6,0.857143,0.509891,0,11
5,5255,600.016,134,33.1,0.857143,0.509891,0,11
6,5275,600.041,42,129.9,0.857143,0.5994,0,11
7,5337,599.771,0,333,333,333,0,11
8,5291,599.815,77,133.7,0.909091,0.5994,0,11
9,5315,599.897,0,333,333,333,0,11
10,5377,599.834,0,103.6,1,0,0,11
11,5347,599.858,0,333,333,333,0,11
12,5419,600,0,333,333,333,0,11
13,5203,599.971,0,333,333,333,0,11
14,5258,599.726,123,32.5,0.9,0.509891,0,11
15,5218,599.959,92,58.4,0.6875,0.599401,0,11
16,5290,599.902,208,0,0,0.326634,0,11
17,5344,599.9,40,126.2,0.833333,0.468496,0,11
18,5356,599.689,0,333,333,333,0,11
19,5307,599.981,166,16.2,0.875,0.534496,0,11
20,5342,599.907,55,17.2,1,0,0,11
21,5348,599.734,99,12,1,0,0,11
22,5284,599.949,81,72.5,0.916667,0.509891,0,11
23,5366,599.868,143,6.8,1,0,0,11
24,5355,599.795,0,154,1,0,0,11
25,5305,600.004,99,71.2,0.833333,0.54796,0,11
26,5305,599.737,0,333,333,333,0,11
27,5344,599.451,0,333,333,333,0,11
28,5355,599.893,51,36.6,0.9375,0.509891,0,11
29,5280,599.813,63,103,0.9,0.509891,0,11
0,5235,600.017,0,333,333,333,0,12
1,6038,599.858,0,333,333,333,0,12
2,5239,599.881,0,333,333,333,0,12
3,5204,600.017,63,11.8,0.666667,0,0,12
4,5301,599.763,0,333,333,333,0,12
5,5249,599.953,0,121.6,0.818182,0.49717,0,12
6,5335,599.951,0,333,333,333,0,12
7,5164,599.832,90,0,0,0.461903,0,12
8,5292,599.926,0,333,333,333,0,12
