runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,5670,599.466,0,27.2,1,0,0,0
1,5569,599.931,13,6.3,0.75,0,0,0
2,5564,599.963,8,18.7,1,0,0,0
3,5885,599.92,11,10.6,1,0,0,0
4,5819,600.035,12,7.9,1,0,0,0
5,5603,599.912,11,10.6,1,0,0,0
6,5736,600.041,15,3.1,0.5,0,0,0
7,5651,599.904,12,7.9,1,0,0,0
8,5608,599.976,12,7.9,1,0,0,0
9,5575,599.986,12,7.9,1,0,0,0
10,5654,599.972,14,4.7,0.5,0,0,0
11,5683,600.02,14,4.7,0.5,0,0,0
12,5721,599.868,14,4.7,0.5,0,0,0
13,5657,600.042,15,3.1,0.5,0,0,0
14,5677,599.993,22,8,1,0,0,0
15,5695,599.926,15,3.1,0.5,0,0,0
16,5782,600.04,14,4.7,0.5,0,0,0
17,5669,599.864,10,13.3,1,0,0,0
18,5204,599.995,0,40.3,1,0,0,0
19,5592,599.965,8,18.7,1,0,0,0
20,5691,599.994,24,5.4,1,0,0,0
21,5825,599.97,22,8,1,0,0,0
22,5564,599.898,15,2.5,0.5,0.488066,0,0
23,5800,599.954,10,13.3,1,0,0,0
24,5792,600.036,12,7.9,1,0,0,0
25,5658,599.913,15,3.1,0.5,0,0,0
26,5741,599.946,13,6.3,0.75,0,0,0
27,5625,600.021,12,7.9,1,0,0,0
28,5700,599.988,13,6.3,0.75,0,0,0
29,5807,599.939,13,6.3,0.75,0,0,0
0,5554,600.096,16,9.6,1,0,0,1
1,5288,599.855,3,15.9,1,0,0,1
2,5549,600.041,21,6.3,1,0,0,1
3,5360,599.922,0,13.4,1,0,0,1
4,5538,599.926,36,0.5,1,0,0,1
5,5516,600.024,21,6.3,1,0,0,1
6,5318,600.008,14,12.4,1,0,0,1
7,5310,599.942,8,20.8,1,0,0,1
8,5370,599.982,16,9.6,1,0,0,1
9,5324,599.953,15,9.5,1,0,0,1
10,5220,600.02,11,19.8,0.857143,0.509891,0,1
11,5361,599.935,36,0.5,1,0,0,1
12,5392,599.991,0,333,333,333,0,1
13,5442,599.874,27,3.1,1,0,0,1
