runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,11389,599.045,16,5.1,0.5,0.488066,0,0
1,10348,599.988,19,1.6,0.5,0.509891,0,0
2,10884,599.95,15,4.2,1,0,0,0
3,11271,600.005,15,4.2,1,0,0,0
4,11206,600.005,20,0.6,1,0,0,0
5,10735,599.941,17,3.6,0.5,0.509891,0,0
6,11104,600.005,20,0.6,1,0,0,0
7,10252,599.997,20,2,0.5,0.349763,0,0
8,10828,599.95,12,8.8,0.666667,0.509891,0,0
9,10831,599.964,12,8.8,0.666667,0.509891,0,0
10,10503,599.988,17,3.6,0.5,0.509891,0,0
11,11022,599.983,20,0.6,1,0,0,0
12,11085,599.974,20,0.6,1,0,0,0
13,10970,600.013,15,4.2,1,0,0,0
14,11107,599.918,12,7.2,0.666667,0.509891,0,0
15,10604,600.009,17,3.6,0.5,0.509891,0,0
16,10691,599.94,12,8.8,0.666667,0.509891,0,0
17,10861,600.022,15,4.2,1,0,0,0
18,10504,599.97,12,7.2,0.666667,0.509891,0,0
19,10547,599.984,17,3.6,0.5,0.509891,0,0
20,10781,599.985,20,0.6,1,0,0,0
21,11275,599.943,20,0.6,1,0,0,0
22,10690,599.948,19,1.6,0.5,0.509891,0,0
23,11091,599.996,20,0.6,1,0,0,0
24,10710,599.957,12,7.2,0.666667,0.509891,0,0
25,10851,599.984,0,38,1,0,0,0
26,10424,599.986,17,3.6,0.5,0.509891,0,0
27,10380,600.021,12,8.8,0.666667,0.509891,0,0
28,11258,599.938,20,0.6,1,0,0,0
29,10561,600.023,12,7.2,0.666667,0.509891,0,0
0,11508,599.197,20,333,333,0,0,1
1,11546,599.963,16,333,333,0,0,1
2,11128,599.981,20,333,333,0,0,1
3,11232,600.014,16,333,333,0,0,1
4,10925,599.929,15,2.5,1,0.346129,0,1
5,11416,599.999,16,333,333,0,0,1
6,11066,600.001,16,333,333,0,0,1
7,10393,599.929,16,333,333,0,0,1
8,10966,599.985,0,34.8,1,0,0,1
9,10892,599.967,16,333,333,0,0,1
10,10718,599.992,16,333,333,0,0,1
11,11054,599.948,4,333,333,0,0,1
12,11136,599.966,12,3.8,1,0,0,1
13,11527,599.955,20,333,333,0,0,1
14,10958,599.97,20,333,333,0,0,1
15,11367,600.016,12,3.8,1,0,0,1
16,11033,599.988,20,333,333,0,0,1
17,11020,599.966,16,333,333,0,0,1
18,10428,599.957,8,333,333,0,0,1
19,10805,600.031,20,333,333,0,0,1
20,11627,599.908,16,333,333,0,0,1
21,11055,600.029,16,333,333,0,0,1
22,10793,599.987,16,333,333,0,0,1
23,10878,599.992,16,333,333,0,0,1
24,10878,599.92,16,333,333,0,0,1
25,11049,599.982,16,333,333,0,0,1
26,11081,599.983,16,333,333,0,0,1
27,10902,600.011,16,333,333,0,0,1
28,11163,599.959,12,333,333,0,0,1
29,10703,599.944,20,333,333,0,0,1
0,11694,599.765,10,333,333,0,0,10
1,11121,599.887,14,333,333,0,0,10
2,11029,599.995,10,333,333,0,0,10
3,11140,599.893,6,5.3,1,0,0,10
4,11231,599.963,0,26.6,1,0,0,10
5,10625,599.883,14,333,333,0,0,10
6,11196,599.886,4,8.5,1,0,0,10
7,11280,599.962,14,333,333,0,0,10
8,11032,599.791,14,333,333,0,0,10
9,10914,599.916,16,333,333,0,0,10
10,11107,599.857,14,333,333,0,0,10
11,11421,599.872,16,333,333,0,0,10
12,11213,599.872,14,333,333,0,0,10
13,11094,599.939,14,333,333,0,0,10
14,11302,599.814,10,333,333,0,0,10
15,11123,599.89,14,333,333,0,0,10
16,11112,599.963,14,333,333,0,0,10
17,11023,599.81,10,333,333,0,0,10
18,11185,599.98,10,333,333,0,0,10
19,11096,599.869,12,333,333,0,0,10
20,11396,599.796,14,333,333,0,0,10
21,11115,599.811,10,333,333,0,0,10
22,11342,599.91,14,333,333,0,0,10
23,11078,599.8,14,333,333,0,0,10
24,11226,599.793,14,333,333,0,0,10
25,11001,599.684,14,333,333,0,0,10
26,10962,599.971,14,333,333,0,0,10
27,10873,599.849,16,333,333,0,0,10
28,10908,599.659,14,333,333,0,0,10
29,11266,599.813,10,333,333,0,0,10
0,10612,599.408,4,11.6,1,0,0,11
1,10822,599.907,2,10.7,1,0,0,11
2,10595,599.915,12,3.5,1,0,0,11
3,11033,599.947,8,5.9,1,0,0,11
4,10797,600.016,8,5.9,1,0,0,11
5,10263,599.947,16,2.5,0.666667,0.509891,0,11
6,10406,599.89,4,11.6,1,0,0,11
7,10865,599.975,8,5.9,1,0,0,11
8,11031,599.915,10,4.3,1,0,0,11
9,10943,599.982,10,4.3,1,0,0,11
10,10650,599.911,6,7.5,1,0,0,11
11,10532,599.919,20,0,0,0.326634,0,11
12,10694,599.91,18,0.5,1,0,0,11
13,10419,600.001,0,9.5,1,0,0,11
14,10603,599.902,12,2.7,1,0,0,11
15,11125,599.889,4,11.6,1,0,0,11
16,11024,599.953,10,4.3,1,0,0,11
17,10400,599.935,0,12.3,1,0,0,11
18,10674,599.926,18,0.5,1,0,0,11
19,10352,599.946,17,1.5,0.5,0.509891,0,11
20,10826,599.95,11,4.5,0.75,0.509891,0,11
21,10195,599.824,4,19.4,0.8,0.509891,0,11
22,10638,600.005,15,2,1,0,0,11
23,10893,599.937,6,7.5,1,0,0,11
24,10670,599.822,10,4.3,1,0,0,11
25,10327,599.965,3,18.1,0.75,0.509891,0,11
26,10404,599.948,4,14.2,0.666667,0.509891,0,11
27,10908,599.893,2,17.2,1,0,0,11
28,10618,599.859,20,0,0,0.326634,0,11
29,10877,599.864,2,10.7,1,0,0,11
0,11114,599.188,12,3.8,1,0,0,12
1,10474,599.946,9,6.4,1,0,0,12
2,10181,599.985,0,23.8,0.857143,0.509891,0,12
3,10279,599.956,0,23.8,0.857143,0.509891,0,12
4,10515,599.955,13,3.2,0.666667,0.509891,0,12
5,10127,599.964,10,5.8,0.75,0.509891,0,12
6,10323,599.994,10,5.8,0.75,0.509891,0,12
7,11255,599.941,10,5.8,0.75,0.509891,0,12
8,10416,599.946,15,1.2,1,0,0,12
9,10096,599.957,17,0,0,0.326634,0,12
10,10070,599.973,11,5.2,0.5,0.509891,0,12
11,10411,599.898,15,2,0.333333,0.488066,0,12
12,10241,599.928,2,20,0.833333,0.509891,0,12
13,9883,599.981,13,3.2,0.666667,0.509891,0,12
14,10581,599.9,3,13.5,0.833333,0.509891,0,12
15,10157,599.945,7,9.6,0.6,0.509891,0,12
16,10206,599.907,13,3.2,0.666667,0.509891,0,12
17,10529,599.908,15,1.2,1,0,0,12
18,10384,600.02,16,0.6,0.5,0.488066,0,12
19,9978,599.898,2,18.6,0.8,0.509891,0,12
20,10517,599.892,7,4.2,1,0,0,12
21,10466,599.858,13,3.2,0.666667,0.509891,0,12
22,10836,599.92,3,13.5,0.833333,0.509891,0,12
23,10499,599.934,7,8.4,0.8,0.509891,0,12
24,10347,599.835,12,3.8,1,0,0,12
25,10322,599.943,10,5.8,0.75,0.509891,0,12
26,10611,599.909,15,1.2,1,0,0,12
27,10860,599.961,15,1.2,1,0,0,12
28,10354,599.985,4,16.2,0.8,0.509891,0,12
29,10210,600.002,13,3.2,0.666667,0.509891,0,12
0,10332,599.164,8,12.3,1,inf,0,13
1,10728,599.95,5,23,0.8,-inf,0,13
2,10902,599.928,6,8.5,1,0,0,13
3,11301,600.021,12,5.3,1,0,0,13
4,10958,599.893,4,15.4,1,0,0,13
5,10913,599.961,3,10.1,1,0,0,13
6,10497,599.978,12,5.3,1,0,0,13
7,11010,599.938,12,5.3,1,0,0,13
8,10099,599.956,13,9,1,0.346129,0,13
9,11343,599.958,12,5.3,1,0,0,13
10,10439,599.962,14,5,1,0.346129,0,13
11,11027,599.899,12,5.3,1,0,0,13
12,11044,599.969,3,10.1,1,0,0,13
13,10595,599.922,12,5.3,1,0,0,13
14,11092,599.93,15,3.7,1,0,0,13
15,10837,599.96,12,5.3,1,0,0,13
16,10955,599.923,12,5.3,1,0,0,13
17,11023,599.96,12,5.3,1,0,0,13
18,10874,599.949,12,5.3,1,0,0,13
19,10548,599.897,24,333,333,0,0,13
20,11032,599.859,4,15.4,1,0,0,13
21,10970,599.85,4,333,333,0,0,13
22,10724,599.974,12,5.3,1,0,0,13
23,10485,599.909,0,11.7,1,0,0,13
24,10218,599.987,0,21,1,0,0,13
25,11348,599.883,3,10.1,1,0,0,13
26,10979,599.931,12,5.3,1,0,0,13
27,10153,599.991,9,6.9,1,0,0,13
28,10898,599.837,18,333,333,0,0,13
29,11037,599.957,3,10.1,1,0,0,13
0,11313,599.786,2,333,333,0,0,14
1,10703,599.952,4,2.5,1,0.346129,0,14
2,10740,599.952,4,2,1,inf,0,14
3,11391,599.828,2,333,333,0,0,14
4,11582,599.906,3,333,333,0,0,14
5,10907,599.805,0,8.5,1,0,0,14
6,11384,599.96,4,333,333,0,0,14
7,11424,599.905,2,333,333,0,0,14
8,11442,599.957,2,333,333,0,0,14
9,11430,599.965,2,333,333,0,0,14
10,11027,599.871,0,10.1,1,0,0,14
11,11517,599.906,2,333,333,0,0,14
12,10685,599.93,3,333,333,0,0,14
13,11399,599.884,2,333,333,0,0,14
14,11290,600.009,5,333,333,0,0,14
15,11171,599.835,2,5.5,1,inf,0,14
16,10629,599.9,3,4,1,inf,0,14
17,10639,599.891,4,2.5,1,0.346129,0,14
18,11348,599.91,4,333,333,0,0,14
19,11289,599.798,4,333,333,0,0,14
20,11439,599.739,4,333,333,0,0,14
21,11193,599.765,5,333,333,0,0,14
22,11228,599.881,0,5.3,1,0,0,14
23,11012,599.703,4,2.5,1,0.346129,0,14
24,11161,599.93,0,333,333,0,0,14
25,10652,599.694,3,4,1,inf,0,14
26,11318,599.781,2,333,333,0,0,14
27,11329,599.76,5,333,333,0,0,14
28,11302,599.906,4,333,333,0,0,14
29,11484,599.916,6,333,333,0,0,14
0,10195,599.47,9,16.9,1,0,0,15
1,10475,599.959,39,0,0,0.326634,0,15
2,10300,599.917,2,46.7,0.857143,0.509891,0,15
3,10683,600.052,39,0,0,0.326634,0,15
4,10365,599.929,39,0,0,0.326634,0,15
5,10502,599.92,35,0.4,1,0,0,15
6,10337,599.965,39,0,0,0.326634,0,15
7,10738,599.943,5,23.1,1,0,0,15
8,10753,599.943,33,3.5,0.5,0.509891,0,15
9,10795,599.889,10,17.3,1,0,0,15
10,10507,599.975,8,21.2,1,0,0,15
11,10730,599.856,38,1,0.5,0.488066,0,15
12,10670,599.956,4,28.2,1,0,0,15
13,10621,599.985,6,25.1,1,0,0,15
14,10131,599.917,39,0,0,0.326634,0,15
15,10477,599.942,39,0,0,0.326634,0,15
16,10745,599.921,8,21.2,1,0,0,15
17,11008,599.94,8,10.2,1,0,0,15
18,10419,599.922,9,24.9,0.75,0.509891,0,15
19,10276,599.963,1,44.9,0.875,0.509891,0,15
20,10054,599.909,7,29.9,0.8,0.509891,0,15
21,10586,599.866,5,23.1,1,0,0,15
22,10540,599.945,39,0,0,0.326634,0,15
23,10667,599.924,35,0.4,1,0,0,15
24,10926,599.865,35,0.4,1,0,0,15
25,10217,599.916,4,28.2,1,0,0,15
26,10386,599.964,39,0,0,0.326634,0,15
27,10627,599.893,35,0.4,1,0,0,15
28,10744,599.826,35,0.4,1,0,0,15
29,10582,599.996,6,25.1,1,0,0,15
0,11001,599.459,0,333,333,0,0,16
1,11575,600.021,0,3.6,1,0,0,16
2,11362,599.917,0,333,333,0,0,16
3,11607,600,0,333,333,0,0,16
4,11069,599.957,0,3.6,1,0,0,16
5,11128,599.916,0,333,333,0,0,16
6,11277,599.976,0,3.6,1,0,0,16
7,11198,599.969,0,333,333,0,0,16
8,11215,599.909,0,3.6,1,0,0,16
