runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,4633,599.105,15,13.6,1,0,0,0
1,4713,600.089,9,17,1,0,0,0
2,4577,599.973,16,15.5,1,0,0,0
3,4665,599.904,32,333,333,0,0,0
4,4608,599.921,40,333,333,0,0,0
5,4458,600.022,6,35.3,1,inf,0,0
6,4503,599.693,21,10.2,1,0,0,0
7,4695,599.993,44,333,333,0,0,0
8,4736,599.904,0,333,333,333,0,0
9,4664,600.05,9,17,1,0,0,0
10,4669,599.957,0,333,333,333,0,0
11,4479,599.973,21,22,1,inf,0,0
12,4454,599.939,0,56,1,0,0,0
13,4497,599.932,24,8.5,1,0,0,0
14,4510,599.922,6,46.7,1,inf,0,0
15,4552,599.877,0,333,333,333,0,0
16,4601,599.812,0,29.5,1,0,0,0
17,4764,599.983,0,333,333,333,0,0
18,4575,600.061,12,15.3,1,0,0,0
19,4590,599.887,21,10.2,1,0,0,0
20,4711,599.947,0,333,333,333,0,0
21,4654,600.022,0,56,1,0,0,0
22,4576,599.816,18,11.9,1,0,0,0
23,4543,599.907,8,26.9,1,inf,0,0
24,4575,599.899,24,8.5,1,0,0,0
25,4676,599.997,40,333,333,0,0,0
26,4707,599.758,0,333,333,333,0,0
27,4828,600.014,0,333,333,333,0,0
28,4542,599.877,32,333,333,0,0,0
29,4625,599.872,0,333,333,333,0,0
0,4592,599.09,4,28.4,1,0,0,1
1,4668,600.058,0,333,333,333,0,1
2,4575,599.815,18,16.5,1,0,0,1
3,4508,600.018,11,23.2,1,0,0,1
4,4610,599.937,20,14.8,1,0,0,1
5,4497,599.911,18,16.5,1,0,0,1
6,4619,600.005,0,45.6,1,0,0,1
7,4523,599.904,4,28.4,1,0,0,1
8,4604,599.965,20,14.8,1,0,0,1
9,4797,599.84,33,333,333,0,0,1
10,4680,600.007,5,40.6,1,0,0,1
11,4678,599.945,51,333,333,0,0,1
12,4489,599.936,7,54.9,0.928571,-inf,0,1
13,4647,600.048,45,333,333,0,0,1
14,4634,599.818,0,41.5,1,0,0,1
15,4722,599.946,0,333,333,333,0,1
