runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,10841,599.484,1,16,41.625,1,0
1,10724,599.91,1,18,41.5,1,0
2,10471,599.936,1,22,36.8333,1,0
3,10523,599.92,1,33,36.3333,1,0
4,10595,599.741,1,24,41.25,1,0
5,10397,599.971,2,15,29.0667,0.8,0.509891
6,10726,599.869,1,22,36.8333,1,0
7,10835,600,1,20,39.1667,1,0
8,10670,599.479,1,18,41.5,1,0
9,10227,599.862,1,10,41.7857,1,0
10,10308,599.884,1,21,41.4,1,0
11,10506,600.468,1,36,34,1,0
12,10330,600.58,1,20,39.1667,1,0
13,10353,603.175,1,33,36.3333,1,0
14,10588,599.821,1,16,41.625,1,0
15,10336,599.746,1,27,41,1,0
16,10456,599.811,1,18,41.5,1,0
17,10451,599.807,1,14,41.7,1,0
18,10892,599.536,1,14,41.7,1,0
19,10491,599.878,1,16,41.625,1,0
20,10783,599.744,1,18,41.5,1,0
21,11224,599.972,1,36,34,1,0
22,10752,599.973,1,14,41.7,1,0
23,10826,599.999,1,21,41.4,1,0
24,10215,599.617,1,20,39.1667,1,0
25,10863,599.509,1,33,36.3333,1,0
26,10922,599.944,1,18,41.5,1,0
27,10611,599.844,1,14,41.7,1,0
28,10748,599.809,1,33,36.3333,1,0
29,10560,599.714,1,12,41.75,1,0
,,,45,,,
