runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,10057,599.458,2,76,8.125,0.75,0.49717
1,10487,599.962,2,74,22.75,0.5,0.49717
2,10160,600,2,74,22.75,0.5,0.49717
3,10218,600.011,2,83,7,0.666667,0.49717
4,10796,599.949,1,21,45.8889,1,0
5,10717,599.965,1,48,45.625,1,0
6,10190,600.016,1,40,28.3125,1,0
7,10193,599.968,2,70,8.7,0.8,0.49717
8,10432,599.964,1,60,28.125,1,0
9,9884,599.955,2,33,21.5667,0.9,0.49717
10,10534,599.972,2,74,22.75,0.5,0.49717
11,10053,599.985,2,76,8.125,0.75,0.49717
12,10268,600.002,1,32,45.8125,1,0
13,9927,599.921,2,54,26.5833,0.833333,0.49717
14,10004,599.976,2,73,17.1667,0.5,0.49717
15,9944,600.034,2,55,30.6667,0.666667,0.49717
16,10172,599.981,2,82,7.16667,0.666667,0.49717
17,10031,599.959,1,18,45.8929,1,0
18,10062,599.954,2,74,22.75,0.5,0.49717
19,9858,599.989,1,35,28.3333,1,0
20,9735,599.972,3,43,19.1667,0.666667,0.481574
21,9943,600.001,1,44,45.7,1,0
22,10521,599.99,2,74,22.75,0.5,0.49717
23,10354,599.945,2,82,5.375,0.5,0.49717
24,10460,599.998,1,60,28.125,1,0
25,9887,600,2,74,22.75,0.5,0.49717
26,10339,599.962,1,55,28.2,1,0
27,10088,599.966,1,54,10.7857,1,0
28,10182,599.988,2,74,22.75,0.5,0.49717
29,10302,599.942,1,50,28.25,1,0
,,,93,,,
