runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5636,600.056,1,156,78,1,0
1,5508,599.911,1,235,333,333,0
2,5638,599.983,1,184,78,1,0
3,5671,599.712,1,184,78,1,0
4,5404,599.921,1,225,333,333,0
5,5543,599.902,1,168,78,1,0
6,5512,599.844,1,235,333,333,0
7,5557,599.888,1,240,333,333,0
8,5495,599.832,1,176,78,1,0
9,5679,600.004,1,184,78,1,0
10,5619,599.645,1,180,78,1,0
11,5541,599.371,1,160,78,1,0
12,5953,599.877,2,121,42.5,1,inf
13,5499,599.839,1,225,333,333,0
14,5476,599.926,2,172,21.2,1,inf
15,5616,599.81,1,132,78,1,0
16,5499,599.944,1,168,78,1,0
17,5735,599.879,1,168,78,1,0
18,5492,599.857,1,184,78,1,0
19,5591,599.972,1,184,78,1,0
20,5473,599.753,1,160,78,1,0
21,5844,599.829,1,172,78,1,0
22,5541,599.873,1,132,78,1,0
23,5453,599.735,1,152,78,1,0
24,5593,599.848,1,184,78,1,0
25,6125,599.777,1,235,333,333,0
26,5368,599.883,1,225,333,333,0
27,5705,600.017,1,184,78,1,0
28,5546,599.737,1,176,78,1,0
29,5453,599.822,2,177,24.25,1,inf
,,,240,,,
