runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5597,599.979,0,0,333,333,333
1,5805,599.974,0,0,333,333,333
2,5418,600.038,3,16,18.2619,0.666667,0.599401
3,5613,599.932,1,30,39.5,1,0
4,5365,599.887,1,30,39.5,1,0
5,5727,600.018,0,0,333,333,333
6,5819,599.971,0,0,333,333,333
7,5306,599.96,1,12,39.5714,1,0
8,5918,599.98,0,0,333,333,333
9,5411,599.941,1,42,35.6667,1,0
10,5372,600.07,1,42,35.6667,1,0
11,5589,599.992,1,30,39.5,1,0
12,5682,599.961,1,25,39.625,1,0
13,5492,599.921,1,20,39.7,1,0
14,5599,599.931,1,25,39.625,1,0
15,5930,599.997,0,0,333,333,333
16,5594,599.952,1,42,35.6667,1,0
17,6156,599.969,0,0,333,333,333
18,5529,600.041,1,20,39.7,1,0
19,5818,599.932,0,0,333,333,333
20,5865,600.004,0,0,333,333,333
21,5682,599.869,0,0,333,333,333
22,5260,600.007,1,10,39.7857,1,0
23,5573,599.947,0,0,333,333,333
24,5351,600.001,1,25,39.625,1,0
25,5395,599.917,1,20,39.7,1,0
26,5647,600.042,0,0,333,333,333
27,5928,599.894,0,0,333,333,333
28,5682,600.033,0,0,333,333,333
29,5870,599.931,0,0,333,333,333
,,,60,,,
