runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,4003,599.938,0,0,333,333,333
1,4440,599.767,0,0,333,333,333
2,4347,599.941,0,0,333,333,333
3,4159,599.724,0,0,333,333,333
4,4331,599.999,0,0,333,333,333
5,4384,599.881,0,0,333,333,333
6,4348,599.879,0,0,333,333,333
7,4194,599.945,0,0,333,333,333
8,4108,599.811,1,0,333,333,0
9,4327,599.958,0,0,333,333,333
10,4346,599.779,0,0,333,333,333
11,4209,599.974,0,0,333,333,333
12,4280,600.042,0,0,333,333,333
13,4433,599.753,0,0,333,333,333
14,4211,600.035,0,0,333,333,333
15,4028,599.868,0,0,333,333,333
16,4581,599.924,0,0,333,333,333
17,4278,599.777,0,0,333,333,333
18,4426,599.838,0,0,333,333,333
19,4282,599.925,0,0,333,333,333
20,4567,599.808,0,0,333,333,333
21,4432,599.805,0,0,333,333,333
22,4400,600.031,0,0,333,333,333
23,4377,599.717,0,0,333,333,333
24,4290,599.923,0,0,333,333,333
25,4252,599.899,0,0,333,333,333
26,4274,599.907,0,0,333,333,333
27,4307,599.741,0,0,333,333,333
28,4295,600.014,0,0,333,333,333
29,4269,599.929,0,0,333,333,333
,,,0,,,
