runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,4645,599.941,1,21,45.875,1,0
1,4598,600.005,1,27,45.8333,1,0
2,4574,599.935,1,30,45.8,1,0
3,4793,599.97,2,43,6.4,0.8,0.509891
4,4567,600.022,1,4,45.9615,1,0
5,4506,599.956,1,10,45.95,1,0
6,4737,599.971,1,28,7.875,1,0
7,4703,599.884,1,27,45.8333,1,0
8,4738,600.033,2,55,4,0.5,0.509891
9,4578,599.984,1,22,45.875,1,0
10,4608,599.918,1,56,7,1,0
11,4519,600.015,1,15,45.9,1,0
12,4735,599.974,1,36,7.83333,1,0
13,4753,599.987,2,35,6.85714,0.857143,0.509891
14,4736,599.86,2,47,6,0.75,0.509891
15,4556,600.07,1,44,7.75,1,0
16,4715,599.888,1,39,45.5,1,0
17,4654,599.989,1,24,45.8571,1,0
18,4728,599.928,1,48,7.66667,1,0
19,4611,600.042,2,55,4,0.5,0.509891
20,4704,599.982,0,0,333,333,333
21,4710,599.932,1,21,45.875,1,0
22,4514,599.969,1,15,45.9,1,0
23,4542,599.901,1,33,45.75,1,0
24,4672,600.071,1,16,45.9286,1,0
25,4769,599.902,2,55,4,0.5,0.509891
26,4616,599.991,1,30,45.8,1,0
27,4577,599.924,1,0,45.9667,1,0
28,5025,599.988,2,43,6.4,0.8,0.509891
29,4687,600.072,1,33,45.75,1,0
,,,59,,,
