runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,8439,600.054,1,69,48.625,1,0
1,8346,599.968,2,95,26.375,0.75,0.49717
2,7945,599.933,2,129,3.5,0.5,0.488066
3,7485,599.991,2,129,3.5,0.5,0.488066
4,8591,599.858,1,104,24,0.5,0
5,8161,599.878,1,100,27.75,1,0
6,8228,600.022,2,129,3.5,0.5,0.488066
7,8303,599.863,1,100,27.75,1,0
8,8168,599.964,1,100,27.75,1,0
9,8048,599.836,2,129,3.5,0.5,0.488066
10,8311,599.984,2,129,3.5,0.5,0.488066
11,8210,599.968,1,84,28.25,1,0
12,8237,599.94,1,96,28,1,0
13,8131,599.881,1,92,28.125,1,0
14,8447,599.987,1,104,24,0.5,0
15,8402,599.916,2,99,25.6667,0.666667,0.49717
16,7666,599.944,2,62,34.1905,0.857143,0.49717
17,8209,599.851,2,107,20.5,0.5,0.488066
18,8511,600.075,1,92,28.125,1,0
19,8234,599.884,2,129,3.5,0.5,0.488066
20,8227,599.91,2,77,31.3333,0.666667,0.49717
21,8451,600.018,1,100,27.75,1,0
22,8324,599.922,2,129,3.5,0.5,0.488066
23,8558,599.953,1,104,24,0.5,0
24,8571,599.935,1,100,27.75,1,0
25,8501,599.989,1,104,24,0.5,0
26,8476,599.959,1,100,27.75,1,0
27,8183,599.978,1,96,28,1,0
28,8244,600.057,1,78,44.75,1,0
29,8332,599.914,1,104,24,0.5,0
,,,132,,,
