runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,8702,599.928,1,216,10.6667,1,0
1,8508,600.068,1,232,10,1,0
2,8564,599.894,1,182,17.95,1,0
3,8772,600.002,1,182,17.95,1,0
4,8657,599.973,1,224,10.5,1,0
5,8648,599.975,1,232,10,1,0
6,8621,599.938,1,232,10,1,0
7,8511,599.968,1,232,10,1,0
8,8690,600.009,1,216,10.6667,1,0
9,8663,599.992,1,232,10,1,0
10,8429,599.957,1,232,10,1,0
11,8838,599.972,1,232,10,1,0
12,8827,599.964,1,232,10,1,0
13,8620,599.986,1,224,10.5,1,0
14,8617,599.968,1,232,10,1,0
15,8512,599.961,1,232,10,1,0
16,8272,599.987,1,232,10,1,0
17,8300,599.967,1,232,10,1,0
18,8663,599.978,1,216,10.6667,1,0
19,8743,600.018,1,232,10,1,0
20,8783,599.911,1,216,10.6667,1,0
21,8613,599.997,1,216,10.6667,1,0
22,8691,599.936,1,182,17.95,1,0
23,8784,600.037,1,232,10,1,0
24,8605,599.966,1,232,10,1,0
25,8757,599.918,1,232,10,1,0
26,8547,599.991,1,232,10,1,0
27,8846,599.955,1,232,10,1,0
28,8544,599.964,1,232,10,1,0
29,8637,600.009,1,182,17.95,1,0
,,,235,,,
