runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,7896,600.041,1,15,42.6364,1,0
1,7741,599.926,1,40,42.3333,1,0
2,7654,600.011,2,39,24.9286,0.857143,0.509891
3,7956,599.953,0,0,333,333,333
4,7706,599.912,1,20,42.7778,1,0
5,7664,600.03,1,15,42.6364,1,0
6,7652,599.937,1,45,42.2,1,0
7,7878,600.038,1,25,42.5556,1,0
8,7872,599.921,1,20,42.7778,1,0
9,8001,600.068,1,40,42.3333,1,0
10,7659,599.903,2,44,24.6667,0.833333,0.509891
11,7610,600.013,1,40,42.3333,1,0
12,7686,599.969,1,12,42.8182,1,0
13,7931,600.021,1,50,42,1,0
14,7655,599.92,1,36,42.6,1,0
15,7902,599.972,1,44,40.25,1,0
16,7794,600.006,1,40,42.3333,1,0
17,7809,599.861,1,36,42.6,1,0
18,7496,600.03,1,12,42.8182,1,0
19,7524,599.971,2,29,8.7,0.9,0.509891
20,7716,599.942,1,30,42.5,1,0
21,7756,599.988,1,32,42.6667,1,0
22,7660,599.927,1,20,42.6,1,0
23,7714,600.037,1,3,42.8974,1,0
24,7615,600.004,2,20,33.5,0.875,0.509891
25,8043,599.93,0,0,333,333,333
26,7840,599.992,0,0,333,333,333
27,7845,599.942,1,55,39.75,1,0
28,7350,599.99,3,27,19.0333,0.8,0.5994
29,8003,599.998,1,50,42,1,0
,,,80,,,
