runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,7900,599.969,2,51,6.64286,0.857143,0.509891
1,7401,600.006,2,2,26.5263,0.947368,0.509891
2,7549,600.011,1,36,41.5,1,0
3,7712,599.904,1,16,45.8182,1,0
4,7595,600.021,1,12,45.8462,1,0
5,7714,599.922,1,51,26,1,0
6,7500,600.064,1,64,7.33333,1,0
7,7710,599.924,2,13,35.1667,0.833333,0.509891
8,7732,599.946,2,38,6.45455,0.818182,0.509891
9,7480,599.925,2,13,32.6923,0.923077,0.509891
10,7748,599.969,1,0,45.9,1,0
11,7649,599.907,1,30,26.7778,1,0
12,7598,599.987,1,56,7.6,1,0
13,7839,600.002,1,20,45.7778,1,0
14,8068,599.916,0,0,333,333,333
15,7447,599.892,1,9,45.8667,1,0
16,7619,599.939,1,20,45.7778,1,0
17,7551,600.061,1,68,7,1,0
18,7607,599.917,2,47,6.8125,0.875,0.509891
19,7624,600.028,1,36,41.5,1,0
20,7419,599.943,1,39,26.6667,1,0
21,7677,600.009,1,42,26.6,1,0
22,7283,599.983,1,20,45.7778,1,0
23,7708,599.963,2,35,25.875,0.875,0.509891
24,7405,599.887,2,22,26,0.875,0.509891
25,7476,599.964,1,18,45.8,1,0
26,7550,600.012,2,47,6.8125,0.875,0.509891
27,7472,599.966,1,16,45.8182,1,0
28,7771,599.929,1,32,45.3333,1,0
29,7651,599.969,1,10,45.8519,1,0
,,,72,,,
