runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,8727,600.048,1,208,333,333,0
1,8498,599.904,1,175,48,1,0
2,8260,600.002,1,114,48,1,0
3,8779,600.001,1,208,333,333,0
4,8727,599.941,1,161,48,1,0
5,8594,600.005,1,208,333,333,0
6,8553,599.98,1,138,48,1,0
7,8545,599.931,1,208,333,333,0
8,8869,599.991,1,208,333,333,0
9,8620,599.975,1,208,333,333,0
10,8559,599.978,1,132,48,1,0
11,8620,599.963,1,200,333,333,0
12,8514,599.975,1,208,333,333,0
13,8336,599.928,1,175,48,1,0
14,8588,600.033,1,208,333,333,0
15,8580,599.957,1,208,333,333,0
16,8388,599.942,1,168,48,1,0
17,8545,599.942,1,208,333,333,0
18,8756,599.977,1,175,48,1,0
19,8504,599.972,1,175,48,1,0
20,8358,599.976,1,126,48,1,0
21,8286,600.03,1,161,48,1,0
22,8497,599.972,1,161,48,1,0
23,8294,599.991,1,147,48,1,0
24,8434,599.971,1,200,333,333,0
25,8154,599.92,1,138,48,1,0
26,8519,600.047,1,208,333,333,0
27,8720,599.943,1,208,333,333,0
28,8327,599.991,1,161,48,1,0
29,8603,599.945,1,208,333,333,0
,,,208,,,
