runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5644,599.908,1,105,39,1,0
1,5648,599.991,2,83,19.2222,0.833333,0.509891
2,5516,600.023,1,95,43.3333,1,0
3,5597,599.929,1,76,43.6667,1,0
4,5572,599.964,1,95,43.3333,1,0
5,5810,599.959,1,95,43.3333,1,0
6,5621,600.006,1,110,35,1,0
7,5475,599.93,1,105,39,1,0
8,5588,600.124,1,95,43.3333,1,0
9,5520,599.897,1,105,39,1,0
10,5539,599.982,2,50,33.8333,0.833333,0.509891
11,5616,599.966,1,105,39,1,0
12,5615,599.962,1,60,43.6667,1,0
13,5696,600.009,1,108,8.5,1,0
14,5698,600.005,1,105,39,1,0
15,5409,599.945,2,75,30.1667,0.75,0.509891
16,5701,599.821,1,95,43.3333,1,0
17,5322,600,1,80,43.6667,1,0
18,5676,599.994,2,67,30.8889,0.833333,0.509891
19,5752,599.935,1,105,39,1,0
20,5405,600.048,2,75,30.1667,0.75,0.509891
21,5732,599.997,1,120,8,1,0
22,5722,599.929,1,100,43,1,0
23,5513,600.002,1,65,43.7778,1,0
24,5719,599.989,1,105,39,1,0
25,5584,599.941,1,110,35,1,0
26,5714,600.02,1,110,35,1,0
27,5680,599.928,1,68,43.8,1,0
28,5609,599.986,1,95,43.3333,1,0
29,5617,600.035,1,95,43.3333,1,0
,,,130,,,
