runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5722,599.822,2,44,0,0,0.326634
1,5718,599.769,2,44,0,0,0.326634
2,5858,599.67,1,40,8,1,0
3,5578,599.901,2,27,18.1667,0.666667,0.509891
4,5905,599.977,2,27,18.1667,0.666667,0.509891
5,5854,599.825,2,44,0,0,0.326634
6,5506,600.023,1,12,32.8333,1,0
7,5671,599.911,2,44,0,0,0.326634
8,5670,599.97,2,13,24.25,0.75,0.509891
9,5862,599.904,1,40,8,1,0
10,5661,599.744,2,44,0,0,0.326634
11,5742,599.844,1,30,8.66667,1,0
12,5460,599.932,2,44,0,0,0.326634
13,6024,600.012,1,35,8.5,1,0
14,5899,599.697,1,35,8.5,1,0
15,5505,599.869,2,44,0,0,0.326634
16,5558,599.881,1,35,8.5,1,0
17,5696,599.996,1,30,8.66667,1,0
18,5968,599.888,1,40,8,1,0
19,6151,600.015,2,44,0,0,0.326634
20,5904,599.921,1,35,8.5,1,0
21,5616,599.975,2,44,0,0,0.326634
22,5416,599.8,2,29,6.75,0.75,0.509891
23,5685,599.744,1,35,8.5,1,0
24,5712,599.901,2,38,3.33333,0.666667,0.509891
25,6103,599.955,1,35,8.5,1,0
26,5575,600.032,2,39,4.5,0.5,0.509891
27,5564,599.773,1,30,8.66667,1,0
28,5594,600.026,2,13,24.25,0.75,0.509891
29,6081,599.822,1,40,8,1,0
,,,44,,,
