runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,6062,600.04,1,12,26,1,0
1,5564,599.909,2,7,15.3,1,inf
2,5660,599.983,1,15,26,1,0
3,5741,599.981,1,32,13,1,0
4,5652,599.986,1,32,13,1,0
5,5845,600.064,1,6,26,1,0
6,5865,599.872,1,21,333,333,0
7,6276,600.061,1,16,13,1,0
8,5975,599.948,1,12,26,1,0
9,5976,599.923,1,15,26,1,0
10,5517,600.019,2,15,8.25,0.75,0.488066
11,5811,600.004,1,0,26,1,0
12,6018,599.881,1,12,26,1,0
13,5901,600.048,1,10,26,1,0
14,5846,600.004,1,21,333,333,0
15,5664,599.893,1,2,26,1,0
16,5826,599.953,1,21,333,333,0
17,5744,599.992,1,4,26,1,0
18,5622,599.968,2,22,3.5,0.5,0.488066
19,5761,599.993,1,16,13,1,0
20,5987,599.984,1,32,13,1,0
21,5761,599.935,1,21,333,333,0
22,5972,599.984,1,12,26,1,0
23,5975,600.001,1,12,26,1,0
24,6023,599.993,1,12,26,1,0
25,5433,599.952,2,7,19.75,1,inf
26,5719,600.026,1,15,26,1,0
27,5753,599.902,1,12,26,1,0
28,5765,600.009,1,21,333,333,0
29,5771,599.978,1,12,26,1,0
,,,35,,,
