runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5308,600.052,0,0,333,333,333
1,5400,599.883,0,0,333,333,333
2,5463,599.998,0,0,333,333,333
3,5563,600,0,0,333,333,333
4,5685,599.888,0,0,333,333,333
5,5397,599.989,0,0,333,333,333
6,5394,599.984,0,0,333,333,333
7,5356,600.057,0,0,333,333,333
8,5490,599.872,0,0,333,333,333
9,5579,600.016,0,0,333,333,333
10,5492,599.967,0,0,333,333,333
11,5655,599.972,0,0,333,333,333
12,5501,599.996,0,0,333,333,333
13,5761,599.935,0,0,333,333,333
14,5430,600.044,0,0,333,333,333
15,5508,599.888,0,0,333,333,333
16,5604,600.036,0,0,333,333,333
17,5265,599.942,0,0,333,333,333
18,5365,599.998,0,0,333,333,333
19,5375,599.965,0,0,333,333,333
20,5398,599.975,0,0,333,333,333
21,5359,599.921,0,0,333,333,333
22,5515,600.068,0,0,333,333,333
23,5413,599.907,0,0,333,333,333
24,5404,600.041,0,0,333,333,333
25,5431,599.965,0,0,333,333,333
26,5573,599.902,0,0,333,333,333
27,5418,600.061,0,0,333,333,333
28,5560,599.932,0,0,333,333,333
29,5539,599.982,0,0,333,333,333
,,,62,,,
