runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5570,600.032,0,0,333,333,333
1,5207,600.009,0,0,333,333,333
2,5418,599.952,0,0,333,333,333
3,5510,599.948,0,0,333,333,333
4,5287,600.032,0,0,333,333,333
5,5706,599.893,0,0,333,333,333
6,5324,599.975,0,0,333,333,333
7,5503,600.028,0,0,333,333,333
8,5309,599.889,0,0,333,333,333
9,5312,600.057,0,0,333,333,333
10,5506,599.978,0,0,333,333,333
11,5272,599.977,0,0,333,333,333
12,5232,599.717,0,0,333,333,333
13,5389,599.973,0,0,333,333,333
14,5311,599.914,0,0,333,333,333
15,5352,599.922,0,0,333,333,333
16,5391,599.97,0,0,333,333,333
17,5512,599.887,0,0,333,333,333
18,5389,599.957,0,0,333,333,333
19,5475,599.875,0,0,333,333,333
20,5552,599.976,0,0,333,333,333
21,5428,599.952,0,0,333,333,333
22,5500,599.994,0,0,333,333,333
23,5231,600.001,0,0,333,333,333
24,5370,599.965,0,0,333,333,333
25,5374,599.975,0,0,333,333,333
26,5393,599.962,0,0,333,333,333
27,5569,599.884,0,0,333,333,333
28,5329,600.011,0,0,333,333,333
29,5314,599.959,0,0,333,333,333
,,,64,,,
