runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5349,599.943,0,0,333,333,333
1,5380,600.033,0,0,333,333,333
2,5308,599.905,0,0,333,333,333
3,5301,599.995,0,0,333,333,333
4,5463,599.921,0,0,333,333,333
5,5363,600.011,0,0,333,333,333
6,5403,599.916,0,0,333,333,333
7,5316,600.017,0,0,333,333,333
8,5445,600.038,0,0,333,333,333
9,5382,599.947,0,0,333,333,333
10,5355,599.882,0,0,333,333,333
11,5405,599.99,0,0,333,333,333
12,5458,599.937,0,0,333,333,333
13,5466,600.007,0,0,333,333,333
14,5288,599.97,0,0,333,333,333
15,5333,600.004,0,0,333,333,333
16,5560,599.964,0,0,333,333,333
17,5255,600.018,0,0,333,333,333
18,5285,599.957,0,0,333,333,333
19,5417,599.971,0,0,333,333,333
20,5320,599.922,0,0,333,333,333
21,5318,600.096,0,0,333,333,333
22,5308,599.855,0,0,333,333,333
23,5382,599.98,0,0,333,333,333
24,5272,599.978,0,0,333,333,333
25,5323,600.046,0,0,333,333,333
26,5362,599.942,0,0,333,333,333
27,5177,599.961,0,0,333,333,333
28,5298,599.942,0,0,333,333,333
29,5709,599.99,0,0,333,333,333
,,,42,,,
