runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3775,600.012,0,0,333,333,333
1,3921,599.895,0,0,333,333,333
2,3915,599.9,0,0,333,333,333
3,3939,599.974,2,43,7.66667,1,inf
4,4200,599.9,0,0,333,333,333
5,3918,599.927,2,32,31.6667,1,inf
6,3901,599.948,0,0,333,333,333
7,3917,599.843,1,52,333,333,0
8,3873,599.921,0,0,333,333,333
9,3930,599.934,0,0,333,333,333
10,3869,599.862,0,0,333,333,333
11,3926,599.965,0,0,333,333,333
12,4114,599.854,0,0,333,333,333
13,4042,599.94,1,40,333,333,0
14,3943,599.884,0,0,333,333,333
15,3767,599.971,2,29,31.8571,1,inf
16,3954,599.859,0,0,333,333,333
17,3977,600.061,0,0,333,333,333
18,3825,599.889,0,0,333,333,333
19,3868,599.909,0,0,333,333,333
20,4075,599.974,0,0,333,333,333
21,4075,599.814,0,0,333,333,333
22,3944,600.02,0,0,333,333,333
23,4093,599.829,0,0,333,333,333
24,3993,600.003,0,0,333,333,333
25,3962,599.983,0,0,333,333,333
26,3794,599.854,0,0,333,333,333
27,4090,599.832,0,0,333,333,333
28,3935,599.847,0,0,333,333,333
29,3993,599.88,0,0,333,333,333
,,,64,,,
