runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3865,599.864,0,0,333,333,333
1,3719,599.975,0,0,333,333,333
2,3954,599.951,0,0,333,333,333
3,3828,599.927,0,0,333,333,333
4,3889,599.882,0,0,333,333,333
5,3939,600.002,0,0,333,333,333
6,3814,599.833,0,0,333,333,333
7,3878,599.907,0,0,333,333,333
8,3780,599.78,0,0,333,333,333
9,3796,599.951,0,0,333,333,333
10,3966,599.856,0,0,333,333,333
11,3897,600.085,0,0,333,333,333
12,3979,599.721,0,0,333,333,333
13,3979,600.022,0,0,333,333,333
14,3650,599.863,0,0,333,333,333
15,3793,599.893,0,0,333,333,333
16,3929,599.854,0,0,333,333,333
17,3953,599.756,0,0,333,333,333
18,3777,600.044,0,0,333,333,333
19,3938,599.828,0,0,333,333,333
20,3811,599.93,0,0,333,333,333
21,3724,600.012,0,0,333,333,333
22,3959,599.958,0,0,333,333,333
23,3972,599.882,0,0,333,333,333
24,3961,599.885,0,0,333,333,333
25,4144,600.08,0,0,333,333,333
26,3942,599.789,0,0,333,333,333
27,3913,599.828,0,0,333,333,333
28,3972,599.991,0,0,333,333,333
29,3846,599.922,0,0,333,333,333
,,,162,,,
