runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5838,599.982,1,392,16.5,1,0
1,5701,599.993,1,392,16.5,1,0
2,5737,599.924,1,406,16,1,0
3,5669,599.974,1,392,16.5,1,0
4,5790,599.723,1,364,28.5,1,0
5,5672,599.784,1,364,28.5,1,0
6,5733,599.976,2,403,8.5,0.5,0.509891
7,5664,599.743,1,392,16.5,1,0
8,5805,599.663,1,392,16.5,1,0
9,5683,599.755,2,391,11.1111,0.666667,0.509891
10,5792,599.71,1,392,16.5,1,0
11,5659,599.897,1,392,16.5,1,0
12,5811,600.031,1,392,16.5,1,0
13,5832,599.785,1,406,16,1,0
14,5768,599.97,1,378,16.6667,1,0
15,5756,599.949,1,378,16.6667,1,0
16,5505,599.957,3,385,12.5,0.666667,0.330901
17,5742,599.863,2,391,11.1111,0.666667,0.509891
18,5629,599.939,2,391,11.1111,0.666667,0.509891
19,5726,599.967,1,406,16,1,0
20,5912,599.955,1,378,16.6667,1,0
21,5803,599.977,1,406,16,1,0
22,5745,599.969,1,378,16.6667,1,0
23,5582,599.961,3,372,15.8,0.666667,0.553651
24,5771,599.99,1,351,28.6667,1,0
25,5682,599.937,1,392,16.5,1,0
26,5637,599.929,1,392,16.5,1,0
27,5617,600.026,2,391,11.1111,0.666667,0.509891
28,5859,599.917,1,406,16,1,0
29,5579,600.021,1,392,16.5,1,0
,,,417,,,
