runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5367,599.79,0,0,333,333,333
1,5153,599.906,0,0,333,333,333
2,5079,599.99,1,45,8.66667,1,0
3,5356,599.99,0,0,333,333,333
4,5098,599.876,1,40,8.75,1,0
5,5275,600.012,1,4,42.9375,1,0
6,5595,599.875,0,0,333,333,333
7,5639,600.01,1,32,25.75,1,0
8,5439,599.928,0,0,333,333,333
9,5564,599.785,0,0,333,333,333
10,5000,599.916,1,44,25,1,0
11,5291,599.967,0,0,333,333,333
12,5309,599.904,0,0,333,333,333
13,5154,599.944,1,45,8.66667,1,0
14,5428,599.83,1,45,8.66667,1,0
15,5440,599.866,0,0,333,333,333
16,5060,599.918,1,10,42.9048,1,0
17,5120,600.017,2,46,6.16667,0.666667,0.509891
18,5418,599.919,1,35,8.8,1,0
19,5239,599.851,1,44,25,1,0
20,5093,600.002,1,40,8.75,1,0
21,4921,599.789,3,16,17.56,0.6,0.489347
22,5114,600.017,1,40,8.75,1,0
23,5412,599.997,0,0,333,333,333
24,5146,599.819,1,45,8.66667,1,0
25,5168,600.016,1,32,25.75,1,0
26,5278,599.919,1,4,42.9333,1,0
27,5682,599.897,0,0,333,333,333
28,5357,600.002,2,41,6.875,0.75,0.509891
29,5371,599.928,0,0,333,333,333
,,,58,,,
