runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,7742,599.965,2,6,34.025,0.9,0.475082
1,7689,599.992,1,28,26.5,0.666667,0
2,8014,599.895,1,28,26.5,0.666667,0
3,7451,599.906,2,23,18.7778,0.888889,0.475082
4,7788,599.963,1,39,15.5556,0.5,0
5,8101,599.926,1,0,43.6071,1,0
6,7668,599.999,1,21,19.5926,1,0
7,7899,600.021,1,21,19.5926,1,0
8,8134,599.917,1,40,7.38889,1,0
9,7543,599.996,1,15,19.6667,1,0
10,7820,599.953,1,11,42.2222,1,0
11,7847,599.96,1,22,30.1667,0.833333,0
12,7757,599.931,2,8,33.7812,0.875,0.475082
13,7709,600.023,1,10,31.6667,1,0
14,7968,599.869,1,36,16.8333,0.666667,0
15,7961,599.986,1,28,26.5,0.666667,0
16,7923,599.911,1,30,19.3889,1,0
17,7869,599.861,1,21,19.5926,1,0
18,7523,599.95,1,0,31.7708,1,0
19,8071,600.049,2,18,24.6071,0.857143,0.475082
20,7812,599.895,1,10,31.6667,1,0
21,7875,599.976,1,33,18.1111,0.833333,0
22,7947,600.018,1,27,19.4762,1,0
23,7941,600.001,1,28,26.5,0.666667,0
24,7777,599.918,1,30,19.3889,1,0
25,8068,600.051,2,16,24.7812,0.875,0.475082
26,7767,599.977,1,18,31.4762,1,0
27,7514,599.914,2,17,30.6667,0.875,0.475082
28,7880,600.002,1,18,19.6333,1,0
29,7776,599.964,1,36,16.8333,0.666667,0
,,,53,,,
