runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5239,599.145,1,36,8,1,0
1,5192,600.035,1,36,8,1,0
2,5030,599.881,0,0,333,333,333
3,5074,599.978,2,11,7.9,0.9,0.509891
4,5771,599.97,0,0,333,333,333
5,5196,599.931,1,6,59.7,1,0
6,5196,600.046,1,3,59.7273,1,0
7,5144,599.908,0,0,333,333,333
8,5393,599.96,1,18,59.5,1,0
9,5081,600.025,0,0,333,333,333
10,5194,599.887,0,0,333,333,333
11,5034,599.987,0,0,333,333,333
12,5323,599.986,0,0,333,333,333
13,5491,599.886,0,0,333,333,333
14,4950,599.996,1,14,59.7,1,0
15,5622,599.971,1,32,8.25,1,0
16,5071,600.005,1,21,59.4,1,0
17,5437,600.025,0,0,333,333,333
18,5199,599.986,1,36,8,1,0
19,5119,599.958,2,26,32.125,0.75,0.509891
20,5187,600.005,0,0,333,333,333
21,5076,599.985,0,0,333,333,333
22,4953,599.883,1,20,8.57143,1,0
23,5268,600.031,1,36,51,1,0
24,5216,599.963,1,30,56.3333,1,0
25,5651,599.995,1,36,8,1,0
26,5313,599.905,0,0,333,333,333
27,5201,599.966,0,0,333,333,333
28,5284,599.988,0,0,333,333,333
29,4976,599.926,2,6,20.875,0.9,0.509891
,,,45,,,
