runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3789,599.902,0,0,333,333,333
1,3801,599.976,0,0,333,333,333
2,3783,600.031,0,0,333,333,333
3,3760,600.021,0,0,333,333,333
4,3820,599.94,0,0,333,333,333
5,3778,599.796,0,0,333,333,333
6,3786,600.027,0,0,333,333,333
7,3818,600.098,0,0,333,333,333
8,3820,599.806,0,0,333,333,333
9,3766,599.86,0,0,333,333,333
10,3833,599.942,0,0,333,333,333
11,3808,600.12,0,0,333,333,333
12,3767,599.773,0,0,333,333,333
13,4058,600.08,0,0,333,333,333
14,3785,599.756,0,0,333,333,333
15,3830,599.856,0,0,333,333,333
16,3841,599.939,0,0,333,333,333
17,3772,600.037,0,0,333,333,333
18,3821,599.944,0,0,333,333,333
19,3755,599.959,0,0,333,333,333
20,3748,599.854,0,0,333,333,333
21,3612,599.861,0,0,333,333,333
22,3748,599.895,0,0,333,333,333
23,3555,599.756,0,0,333,333,333
24,3750,599.98,0,0,333,333,333
25,3635,599.849,0,0,333,333,333
26,3656,600.01,0,0,333,333,333
27,3681,600.023,0,0,333,333,333
28,3786,599.908,0,0,333,333,333
29,3820,600.169,0,0,333,333,333
,,,45,,,
