runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,6148,599.898,1,261,333,333,0
1,6164,599.796,1,261,333,333,0
2,6100,600.004,1,261,333,333,0
3,6482,599.864,1,261,333,333,0
4,6121,599.821,1,261,333,333,0
5,6131,600.007,1,261,333,333,0
6,6006,599.736,1,261,333,333,0
7,6207,599.942,1,261,333,333,0
8,6313,599.847,1,261,333,333,0
9,6113,599.81,1,261,333,333,0
10,6091,599.743,1,261,333,333,0
11,6126,599.936,1,261,333,333,0
12,6221,600.014,1,261,333,333,0
13,6159,599.79,1,261,333,333,0
14,6012,599.93,1,261,333,333,0
15,6337,599.846,1,261,333,333,0
16,6205,599.782,1,261,333,333,0
17,6183,599.823,1,261,333,333,0
18,6315,599.887,1,261,333,333,0
19,6193,599.96,1,261,333,333,0
20,6172,599.929,1,261,333,333,0
21,6354,599.988,1,261,333,333,0
22,6104,600.001,1,261,333,333,0
23,6198,599.776,1,261,333,333,0
24,6230,599.791,1,261,333,333,0
25,6142,599.992,1,261,333,333,0
26,6248,599.986,1,261,333,333,0
27,6112,599.741,1,261,333,333,0
28,6268,599.964,1,261,333,333,0
29,6149,599.791,1,261,333,333,0
,,,261,,,
