runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5192,599.921,2,84,10.4286,1,inf
1,5162,599.915,2,87,10.4286,1,inf
2,5243,599.897,1,100,333,333,0
3,5357,599.936,1,170,333,333,0
4,5376,599.925,1,140,333,333,0
5,5268,599.973,3,129,9.39216,0.941176,-inf
6,5102,600.047,2,133,8.15,1,inf
7,5249,599.871,1,90,333,333,0
8,5341,599.875,2,168,11,1,inf
9,5420,599.913,2,98,10.8421,1,inf
10,5201,599.967,1,100,333,333,0
11,6530,666.939,4,101,9.19,0.9,-inf
12,5300,647.274,2,159,11.0833,1,inf
13,5084,599.952,2,70,10.9,1,inf
14,5247,600.034,1,80,333,333,0
15,5289,599.936,2,56,10.24,1,inf
16,5128,599.96,2,143,7.94737,1,0.346129
17,4964,599.988,1,120,333,333,0
18,5174,599.975,3,111,8.78571,0.857143,-inf
19,5236,599.999,2,117,11.3125,1,inf
20,5060,599.824,3,105,10.193,0.894737,-inf
21,5065,599.768,2,90,7.92593,1,0.346129
22,5267,600.001,2,54,10.625,1,inf
23,5216,600.03,4,113,8.83333,0.777778,-inf
24,5438,600.033,4,125,9.90625,0.875,-inf
25,5186,599.797,1,140,333,333,0
26,5297,599.984,3,92,10.807,0.947368,-inf
27,5245,599.961,4,80,8.6087,0.869565,-inf
28,5331,599.943,3,81,9.52174,0.869565,-inf
29,5298,599.868,3,99,8.97727,0.954545,-inf
,,,270,,,
