runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,10212,621.255,1,252,11,1,0
1,13347,599.976,1,252,11,1,0
2,13800,600.004,1,252,11,1,0
3,13594,599.943,1,243,11.3333,1,0
4,14116,599.954,1,252,11,1,0
5,13953,599.969,1,252,11,1,0
6,13670,599.972,1,252,11,1,0
7,13655,599.983,1,252,11,1,0
8,13980,599.924,1,252,11,1,0
9,13902,600.005,1,252,11,1,0
10,13513,599.986,1,252,11,1,0
11,13851,600,1,252,11,1,0
12,13461,599.856,2,268,0,0,0.326634
13,13837,599.979,1,252,11,1,0
14,13721,599.966,1,252,11,1,0
15,14033,599.973,1,252,11,1,0
16,13874,599.951,1,252,11,1,0
17,14023,599.998,1,252,11,1,0
18,13960,599.951,1,240,36,1,0
19,14096,599.999,1,252,11,1,0
20,13777,599.948,1,252,11,1,0
21,13662,599.952,1,252,11,1,0
22,13569,599.957,1,243,11.3333,1,0
23,13625,599.927,1,252,11,1,0
24,13406,599.926,2,268,0,0,0.326634
25,13676,599.972,1,252,11,1,0
26,13676,599.94,1,252,11,1,0
27,13582,599.988,1,252,11,1,0
28,13529,600.017,1,252,11,1,0
29,13884,599.924,1,252,11,1,0
,,,268,,,
