runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,13242,599.966,1,264,333,333,0
1,13539,599.859,1,275,333,333,0
2,13347,599.934,1,264,333,333,0
3,13534,599.855,1,275,333,333,0
4,13482,599.707,1,264,333,333,0
5,13440,599.379,1,264,333,333,0
6,13511,599.579,1,275,333,333,0
7,13427,599.599,1,275,333,333,0
8,13339,599.949,1,275,333,333,0
9,13328,600.026,1,264,333,333,0
10,13457,599.975,1,275,333,333,0
11,14057,602.118,1,275,333,333,0
12,14515,600.517,1,275,333,333,0
13,13386,607.657,1,275,333,333,0
14,13259,599.949,1,275,333,333,0
15,13370,599.895,1,275,333,333,0
16,13295,599.751,1,275,333,333,0
17,13427,599.914,1,275,333,333,0
18,13136,599.94,1,275,333,333,0
19,13317,599.89,1,275,333,333,0
20,13582,599.933,1,275,333,333,0
21,13506,599.958,1,275,333,333,0
22,14267,599.953,1,275,333,333,0
23,13435,599.982,1,275,333,333,0
24,13374,599.899,1,275,333,333,0
25,13470,599.918,1,275,333,333,0
26,13232,599.764,1,264,333,333,0
27,13367,599.868,1,275,333,333,0
28,13349,599.899,1,264,333,333,0
29,13514,599.939,1,275,333,333,0
,,,275,,,
