runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,18890,599.669,1,377,333,333,0
1,11155,614.961,1,377,333,333,0
2,13979,599.914,1,377,333,333,0
3,13916,600.012,1,377,333,333,0
4,14021,599.94,1,377,333,333,0
5,13935,599.944,1,377,333,333,0
6,13578,599.995,1,377,333,333,0
7,13835,599.958,1,377,333,333,0
8,13984,599.979,1,377,333,333,0
9,14262,599.986,1,377,333,333,0
10,13604,599.946,1,377,333,333,0
11,13924,599.973,1,377,333,333,0
12,13876,599.965,1,377,333,333,0
13,13922,599.977,1,377,333,333,0
14,13635,599.995,1,377,333,333,0
15,14026,599.918,1,377,333,333,0
16,13582,599.969,1,377,333,333,0
17,13907,600.007,1,377,333,333,0
18,13812,599.951,1,377,333,333,0
19,13632,599.922,1,377,333,333,0
20,13655,599.99,1,377,333,333,0
21,14390,599.945,1,377,333,333,0
22,13747,599.912,1,377,333,333,0
23,13686,599.937,1,377,333,333,0
24,13498,599.988,1,377,333,333,0
25,13777,600.005,1,377,333,333,0
26,13805,599.957,1,377,333,333,0
27,13742,599.99,1,377,333,333,0
28,13474,600.007,1,377,333,333,0
29,14122,599.947,1,377,333,333,0
,,,377,,,
