runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,13229,599.186,1,390,15,1,0
1,13354,599.963,1,360,52,1,0
2,13233,599.672,1,390,15,1,0
3,13432,600.003,1,390,15,1,0
4,14033,599.865,1,390,15,1,0
5,13096,599.942,1,390,15,1,0
6,13128,599.933,1,390,15,1,0
7,13443,599.978,1,390,15,1,0
8,12931,599.987,1,390,15,1,0
9,13205,600.028,1,390,15,1,0
10,13275,599.728,1,390,15,1,0
11,13206,599.978,1,390,15,1,0
12,13401,599.987,1,390,15,1,0
13,13307,599.925,1,390,15,1,0
14,13522,599.997,1,390,15,1,0
15,13531,599.956,1,390,15,1,0
16,13401,599.939,1,390,15,1,0
17,13376,599.965,1,390,15,1,0
18,13159,599.985,1,390,15,1,0
19,13286,599.973,1,390,15,1,0
20,13290,600.002,1,390,15,1,0
21,13576,599.978,1,390,15,1,0
22,13403,599.948,1,390,15,1,0
23,13354,599.974,1,390,15,1,0
24,12854,599.958,2,376,10.6667,0.666667,0.509891
25,13334,599.952,1,390,15,1,0
26,13432,599.927,1,390,15,1,0
27,13215,600.013,1,390,15,1,0
28,13095,599.963,1,390,15,1,0
29,13117,600.017,1,390,15,1,0
,,,402,,,
