runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5587,600.01,2,66,7.84,1,inf
1,5337,599.92,1,112,47,1,0
2,5447,600.034,2,100,6.08696,1,0.346129
3,5502,599.797,3,110,6.80952,0.777778,-inf
4,5414,600.047,3,99,7.45556,0.944444,-inf
5,5366,599.74,3,127,6.73529,0.823529,-inf
6,5517,599.722,2,84,9.5,1,inf
7,5391,599.998,1,119,47,1,0
8,5504,599.931,3,28,24.3657,0.88,-inf
9,5520,599.873,2,80,21.3333,1,inf
10,5596,599.938,3,112,6.96296,0.944444,-inf
11,10553,703.464,3,70,17.875,0.9,-inf
12,7911,730.998,4,95,7.9127,0.857143,-inf
13,5408,599.983,4,47,11.5663,0.714286,-0.551581
14,5819,600.076,3,52,18.325,0.95,-inf
15,5402,599.981,3,94,7.38095,0.904762,-inf
16,5550,599.903,1,120,333,333,0
17,5408,600.015,3,103,6.02174,0.869565,0.145824
18,5478,600.005,3,93,7.6375,0.85,-inf
19,5407,599.901,1,42,47,1,0
20,5697,600.028,3,89,7.46825,0.857143,-inf
21,5583,600.059,2,92,8.10526,1,inf
22,5673,599.935,2,85,9.5,1,inf
23,5646,599.964,2,50,8,1,inf
24,5507,600.003,3,93,14.7412,0.941176,-inf
25,5633,599.914,1,104,333,333,0
26,5505,599.991,3,87,8.97222,0.944444,-inf
27,5555,600.064,1,96,333,333,0
28,5443,599.948,2,126,6.625,1,0.346129
29,5693,599.978,3,33,18.4511,0.956522,-inf
,,,224,,,
