runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,3840,600.034,0,0,333,333,333
1,3926,599.77,0,0,333,333,333
2,3681,599.894,0,0,333,333,333
3,3920,599.864,0,0,333,333,333
4,3832,599.864,0,0,333,333,333
5,3776,599.886,0,0,333,333,333
6,3695,599.92,0,0,333,333,333
7,3679,599.894,0,0,333,333,333
8,3822,599.868,0,0,333,333,333
9,3799,599.954,0,0,333,333,333
10,3728,599.89,0,0,333,333,333
11,3596,599.769,0,0,333,333,333
12,4097,599.825,0,0,333,333,333
13,3907,599.928,0,0,333,333,333
14,4164,599.776,0,0,333,333,333
15,3781,599.866,0,0,333,333,333
16,3924,599.787,0,0,333,333,333
17,3820,599.878,0,0,333,333,333
18,3958,599.867,0,0,333,333,333
19,3872,599.977,0,0,333,333,333
20,3809,599.994,0,0,333,333,333
21,3830,599.875,0,0,333,333,333
22,3939,599.833,0,0,333,333,333
23,3831,599.804,0,0,333,333,333
24,4215,600.103,0,0,333,333,333
25,4146,599.845,0,0,333,333,333
26,4159,599.765,0,0,333,333,333
27,3881,600,0,0,333,333,333
28,3891,599.865,0,0,333,333,333
29,3643,599.846,0,0,333,333,333
,,,0,,,
