runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5579,599.954,0,0,333,333,333
1,5899,600.036,0,0,333,333,333
2,5498,599.931,0,0,333,333,333
3,5514,600.057,0,0,333,333,333
4,5392,599.923,0,0,333,333,333
5,5834,599.819,0,0,333,333,333
6,5495,600.021,0,0,333,333,333
7,5600,599.952,0,0,333,333,333
8,5588,600.05,0,0,333,333,333
9,5707,599.892,0,0,333,333,333
10,5582,600.009,0,0,333,333,333
11,5395,599.956,0,0,333,333,333
12,5208,599.876,0,0,333,333,333
13,5403,600.018,0,0,333,333,333
14,5453,599.919,0,0,333,333,333
15,5456,599.884,0,0,333,333,333
16,5362,600.048,0,0,333,333,333
17,5579,599.623,0,0,333,333,333
18,5388,599.995,0,0,333,333,333
19,5407,599.913,0,0,333,333,333
20,5744,599.926,0,0,333,333,333
21,5481,599.993,0,0,333,333,333
22,5411,599.939,0,0,333,333,333
23,5447,600.047,0,0,333,333,333
24,5832,599.942,0,0,333,333,333
25,5415,599.797,0,0,333,333,333
26,5626,599.995,0,0,333,333,333
27,5568,600.06,0,0,333,333,333
28,5568,599.961,0,0,333,333,333
29,5527,599.96,0,0,333,333,333
,,,81,,,
