runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5609,600.012,0,0,333,333,333
1,5642,599.978,0,0,333,333,333
2,5439,599.957,0,0,333,333,333
3,5400,599.987,0,0,333,333,333
4,5421,599.922,0,0,333,333,333
5,5573,600.031,0,0,333,333,333
6,5510,600.005,0,0,333,333,333
7,5477,599.97,0,0,333,333,333
8,5147,599.898,0,0,333,333,333
9,5341,600.062,0,0,333,333,333
10,5308,599.948,0,0,333,333,333
11,5422,599.961,0,0,333,333,333
12,5550,599.961,0,0,333,333,333
13,5381,600.065,0,0,333,333,333
14,5448,599.916,0,0,333,333,333
15,5461,600,0,0,333,333,333
16,5367,599.956,0,0,333,333,333
17,5548,599.96,0,0,333,333,333
18,5507,599.979,0,0,333,333,333
19,5467,599.964,0,0,333,333,333
20,5554,599.985,0,0,333,333,333
21,5570,599.99,0,0,333,333,333
22,5527,599.962,0,0,333,333,333
23,5581,600.002,0,0,333,333,333
24,5423,599.935,0,0,333,333,333
25,5602,600.036,0,0,333,333,333
26,5704,599.977,0,0,333,333,333
27,5454,599.925,0,0,333,333,333
28,5456,600.017,0,0,333,333,333
29,5454,599.939,0,0,333,333,333
,,,39,,,
