runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
0,4527,599.952,0,0,333,333,333,0,0
1,4405,599.939,1,68,63,1,0,0,0
2,4376,599.962,2,58,9.57143,1,inf,0,0
3,4468,599.938,0,0,333,333,333,0,0
4,4500,599.948,0,0,333,333,333,0,0
5,4644,599.927,0,0,333,333,333,0,0
6,4679,599.966,0,0,333,333,333,0,0
7,4607,600.017,0,0,333,333,333,0,0
8,4640,599.967,0,0,333,333,333,0,0
9,4569,600.005,0,0,333,333,333,0,0
10,4367,600.007,1,30,63,1,0,0,0
11,4673,599.962,0,0,333,333,333,0,0
12,4636,599.909,0,0,333,333,333,0,0
13,4559,599.916,1,0,63,1,0,0,0
14,4441,600.092,0,0,333,333,333,0,0
15,4472,599.896,0,0,333,333,333,0,0
16,4405,599.893,2,63,33.6667,1,inf,0,0
17,4541,599.969,0,0,333,333,333,0,0
18,4162,600.067,0,0,333,333,333,0,0
19,4571,599.938,0,0,333,333,333,0,0
20,4604,599.986,0,0,333,333,333,0,0
21,4754,600.012,0,0,333,333,333,0,0
22,4443,599.811,0,0,333,333,333,0,0
23,4455,600.027,1,28,63,1,0,0,0
24,4602,599.935,0,0,333,333,333,0,0
25,4469,599.854,2,74,8.5,1,inf,0,0
26,4442,599.942,0,0,333,333,333,0,0
27,4711,600.057,0,0,333,333,333,0,0
28,4571,600.004,0,0,333,333,333,0,0
29,4441,599.91,0,0,333,333,333,0,0
0,4486,599.895,2,16,25.9778,0.933333,0.509891,0,1
1,4488,599.838,1,45,59.875,1,0,0,1
2,4471,599.984,2,8,26.6875,0.9375,0.509891,0,1
3,4828,599.776,1,44,59.9167,1,0,0,1
4,4550,599.992,1,48,59.6667,1,0,0,1
5,4406,599.823,2,11,49.35,0.916667,0.509891,0,1
6,4639,599.913,1,48,59.9,1,0,0,1
7,4635,599.782,0,0,333,333,333,0,1
8,4589,599.999,2,27,42.7273,0.909091,0.509891,0,1
9,4492,599.76,1,45,59.875,1,0,0,1
10,4580,600.072,1,40,59.8889,1,0,0,1
11,4695,599.842,0,0,333,333,333,0,1
12,4421,599.894,1,12,59.9643,1,0,0,1
13,4535,599.854,1,60,59.8,1,0,0,1
14,4454,599.816,1,28,59.95,1,0,0,1
15,4510,599.971,1,30,59.9091,1,0,0,1
16,4568,600.013,1,85,49,1,0,0,1
17,4533,599.836,1,40,59.8889,1,0,0,1
18,4450,599.912,0,0,333,333,333,0,1
19,4475,599.78,2,44,34.3333,0.888889,0.509891,0,1
20,4565,600.021,2,39,34.45,0.9,0.509891,0,1
21,4349,599.789,1,6,59.9778,1,0,0,1
