runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5042,599.274,0,0,333,333,333
1,5128,599.986,0,0,333,333,333
2,5119,599.796,0,0,333,333,333
3,5334,599.764,0,0,333,333,333
4,5070,600.79,0,0,333,333,333
5,5129,599.906,0,0,333,333,333
6,5216,599.837,0,0,333,333,333
7,5109,599.862,0,0,333,333,333
8,5127,599.943,0,0,333,333,333
9,5384,599.975,0,0,333,333,333
10,4905,599.885,0,0,333,333,333
11,5131,599.926,0,0,333,333,333
12,5022,599.814,0,0,333,333,333
13,5213,599.852,0,0,333,333,333
14,5000,600.006,0,0,333,333,333
15,5457,599.859,0,0,333,333,333
16,5102,599.826,0,0,333,333,333
17,5062,600.029,0,0,333,333,333
18,5266,599.87,0,0,333,333,333
19,5212,599.831,0,0,333,333,333
20,4954,600.002,0,0,333,333,333
21,5137,599.946,0,0,333,333,333
22,4977,599.873,0,0,333,333,333
23,5120,600.046,0,0,333,333,333
24,5135,599.94,0,0,333,333,333
25,5189,600.066,0,0,333,333,333
26,5061,599.848,0,0,333,333,333
27,4867,600.013,0,0,333,333,333
28,5279,599.801,0,0,333,333,333
29,5363,599.913,0,0,333,333,333
,,,0,,,
