runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy
0,5321,599.894,0,0,333,333,333
1,4914,599.95,0,0,333,333,333
2,5032,600.007,0,0,333,333,333
3,5072,600.005,0,0,333,333,333
4,5074,599.973,0,0,333,333,333
5,5131,599.983,0,0,333,333,333
6,4815,599.9,0,0,333,333,333
7,5033,599.986,0,0,333,333,333
8,5115,599.923,0,0,333,333,333
9,5040,600.002,0,0,333,333,333
10,5146,599.905,0,0,333,333,333
11,4926,600.028,0,0,333,333,333
12,5121,599.882,0,0,333,333,333
13,5090,600.061,0,0,333,333,333
14,5110,599.935,0,0,333,333,333
15,5029,599.969,0,0,333,333,333
16,5029,600.006,0,0,333,333,333
17,5095,599.961,0,0,333,333,333
18,5063,599.967,0,0,333,333,333
19,5030,599.946,0,0,333,333,333
20,5079,599.974,0,0,333,333,333
21,5253,599.99,0,0,333,333,333
22,5115,599.988,0,0,333,333,333
23,5108,599.952,0,0,333,333,333
24,5112,599.922,0,0,333,333,333
25,5010,600.015,0,0,333,333,333
26,4989,599.922,0,0,333,333,333
27,5087,600.001,0,0,333,333,333
28,5314,599.991,0,0,333,333,333
29,5072,599.913,0,0,333,333,333
,,,0,,,
